Travel Time ID,Stop ID,Stop Name,Direction,Longitude,Latitude
803,2217,Alcee Fortier + Chef Highway,INBOUND,-89.91170,30.03646
888,2382,Alcee Fortier + Peltier,INBOUND,-89.91270,30.03877
1526,4697,Allen + Humanity,OUTBOUND,-90.06566,29.99135
870,2356,Allen + Lafreniere,OUTBOUND,-90.06583,29.99336
813,2233,Chef + Dong Phuong,INBOUND,-89.91352,30.03593
813,2233,Chef + Dong Phuong,OUTBOUND,-89.91352,30.03593
814,2234,Chef Garden Apartments,INBOUND,-89.91720,30.03470
814,2234,Chef Garden Apartments,OUTBOUND,-89.91720,30.03470
1400,4089,Chef Highway + 13001 Chef Highway,INBOUND,-89.93306,30.02938
1955,8077,Chef Highway + 14551 Chef,OUTBOUND,-89.90936,30.03720
549,1705,Chef Highway + 7743 Chef,OUTBOUND,-89.99543,30.01281
559,1715,Chef Highway + 9642 Chef,OUTBOUND,-89.97331,30.01707
2038,8290,Chef Highway + Alcee Fortier,OUTBOUND,-89.91138,30.03655
1482,4609,Chef Highway + Arthur,INBOUND,-89.98381,30.01514
555,1711,Chef Highway + Arthur,OUTBOUND,-89.98395,30.01483
613,1840,Chef Highway + Bullard,OUTBOUND,-89.94780,30.02391
519,1672,Chef Highway + Bullard (Farside),INBOUND,-89.94794,30.02414
530,1683,Chef Highway + Bundy,INBOUND,-89.97842,30.01610
557,1713,Chef Highway + Bundy,OUTBOUND,-89.97855,30.01583
556,1712,Chef Highway + Camelot,OUTBOUND,-89.98176,30.01519
525,1678,Chef Highway + Cardenas,INBOUND,-89.96508,30.01939
562,1718,Chef Highway + Cardenas,OUTBOUND,-89.96524,30.01910
1392,4028,Chef Highway + Cerise,INBOUND,-89.98052,30.01571
539,1695,Chef Highway + Chantilly,INBOUND,-90.00560,30.01171
545,1701,Chef Highway + Chantilly,OUTBOUND,-90.00563,30.01145
1539,4745,Chef Highway + Computer Center,OUTBOUND,-89.93070,30.02992
1574,5140,Chef Highway + Congress,INBOUND,-90.03161,30.00739
1484,4612,Chef Highway + Crowder,INBOUND,-89.98772,30.01446
553,1709,Chef Highway + Crowder,OUTBOUND,-89.98835,30.01405
541,1697,Chef Highway + Dale,INBOUND,-90.00969,30.01128
543,1699,Chef Highway + Dale,OUTBOUND,-90.00988,30.01098
1875,7712,Chef Highway + Desire Drive,INBOUND,-90.03402,30.00638
1877,7714,Chef Highway + Desire Pkwy,OUTBOUND,-90.03422,30.00595
819,2245,Chef Highway + Downman,INBOUND,-90.02073,30.01010
2040,8292,Chef Highway + Downman,OUTBOUND,-90.02054,30.00972
533,1689,Chef Highway + Eastview,INBOUND,-89.99187,30.01372
551,1707,Chef Highway + Eastview,OUTBOUND,-89.99204,30.01341
535,1690,Chef Highway + Elaine,INBOUND,-89.99296,30.01352
531,1686,Chef Highway + Gawain,INBOUND,-89.98596,30.01476
554,1710,Chef Highway + Gawain,OUTBOUND,-89.98616,30.01443
821,2249,Chef Highway + Gentilly Walmart,INBOUND,-90.03766,30.00498
869,2355,Chef Highway + Gentilly Woods Mall,OUTBOUND,-90.03881,30.00419
2094,8355,Chef Highway + Gentilly Woods Mall,OUTBOUND,-90.03767,30.00463
523,1676,Chef Highway + Good,INBOUND,-89.96154,30.02027
565,1720,Chef Highway + Good,OUTBOUND,-89.96170,30.01996
529,1682,Chef Highway + Hickerson,INBOUND,-89.97541,30.01683
558,1714,Chef Highway + Hickerson,OUTBOUND,-89.97562,30.01651
1534,4710,Chef Highway + Iroquois,OUTBOUND,-90.04402,30.00264
532,1688,Chef Highway + Laine,INBOUND,-89.99004,30.01405
552,1708,Chef Highway + Laine,OUTBOUND,-89.98980,30.01381
2131,8399,Chef Highway + Lancelot,INBOUND,-89.98457,30.01498
1402,4090,Chef Highway + Light Standard 429,INBOUND,-89.99466,30.01323
537,1693,Chef Highway + Lonely Oak,INBOUND,-90.00053,30.01228
547,1703,Chef Highway + Lonely Oak,OUTBOUND,-90.00070,30.01198
312,1399,Chef Highway + Louisa,INBOUND,-90.03616,30.00557
1407,4120,Chef Highway + Louisa,OUTBOUND,-90.03645,30.00513
527,1680,Chef Highway + Lurline,INBOUND,-89.97037,30.01807
560,1716,Chef Highway + Lurline,OUTBOUND,-89.97060,30.01774
1405,4116,Chef Highway + Majestic Oak,INBOUND,-90.01520,30.01068
880,2370,Chef Highway + Majestic Oaks,OUTBOUND,-90.01535,30.01039
1399,4088,Chef Highway + Michoud (In),INBOUND,-89.92882,30.03088
1953,8075,Chef Highway + Michoud (Nearside),INBOUND,-89.92751,30.03136
1953,8075,Chef Highway + Michoud (Nearside),OUTBOUND,-89.92751,30.03136
1954,8076,Chef Highway + Michoud (Out),OUTBOUND,-89.92794,30.03083
522,1675,Chef Highway + Papania,INBOUND,-89.95896,30.02093
566,1721,Chef Highway + Papania,OUTBOUND,-89.95935,30.02055
538,1694,Chef Highway + Plum Orchard,INBOUND,-90.00280,30.01202
546,1702,Chef Highway + Plum Orchard,OUTBOUND,-90.00295,30.01173
550,1706,Chef Highway + Pole 1093,OUTBOUND,-89.99312,30.01322
877,2366,Chef Highway + Press,OUTBOUND,-90.04020,30.00370
823,2250,Chef Highway + Press Drive,INBOUND,-90.03995,30.00409
825,2252,Chef Highway + Providence Place,INBOUND,-90.04428,30.00287
542,1698,Chef Highway + Ray,INBOUND,-90.01189,30.01104
881,2371,Chef Highway + Ray,OUTBOUND,-90.01202,30.01076
561,1717,Chef Highway + Read,INBOUND,-89.96780,30.01874
2039,8291,Chef Highway + Read,OUTBOUND,-89.96818,30.01837
809,2228,Chef Highway + Saint Paul+#39;s Church,OUTBOUND,-90.00731,30.01127
524,1677,Chef Highway + Schindler,INBOUND,-89.96296,30.01992
563,1719,Chef Highway + Schindler,OUTBOUND,-89.96308,30.01963
824,2251,Chef Highway + Seminary Place,INBOUND,-90.04255,30.00317
520,1673,Chef Highway + Sherwood,INBOUND,-89.95161,30.02285
1538,4742,Chef Highway + Sherwood,OUTBOUND,-89.95180,30.02256
528,1681,Chef Highway + Shopping Center,INBOUND,-89.97327,30.01736
614,1841,Chef Highway + Spur Station,OUTBOUND,-89.93256,30.02922
818,2243,Chef Highway + Stemway,INBOUND,-90.01750,30.01043
878,2369,Chef Highway + Stemway,OUTBOUND,-90.01757,30.01016
820,2247,Chef Highway + Store Walkway,INBOUND,-90.03510,30.00597
536,1692,Chef Highway + Wilson,INBOUND,-89.99843,30.01256
548,1704,Chef Highway + Wilson,OUTBOUND,-89.99875,30.01222
567,1722,Chef Highway + Wright,OUTBOUND,-89.95576,30.02144
521,1674,Chef Highway + Wright Rd.,INBOUND,-89.95537,30.02181
540,1696,Chef Highway Opposite Saint Paul+#39;s,INBOUND,-90.00703,30.01156
887,2381,Dwyer + Alcee Fortier,INBOUND,-89.91387,30.04152
882,2377,Dwyer + Bergerac,INBOUND,-89.92687,30.03757
884,2379,Dwyer + Cernay,INBOUND,-89.92206,30.03905
883,2378,Dwyer + Opposite Cannes,INBOUND,-89.92372,30.03855
886,2380,Dwyer + Palace,INBOUND,-89.91705,30.04055
1956,8078,Dwyer + Willowbrook,INBOUND,-89.91946,30.03985
805,2221,Folgers Coffee Plant,OUTBOUND,-89.90839,30.03479
829,2256,Gentilly + Arts,INBOUND,-90.05298,30.00303
1533,4709,Gentilly + Aster,OUTBOUND,-90.04640,30.00261
1532,4705,Gentilly + Clematis,OUTBOUND,-90.05641,30.00165
872,2358,Gentilly + Clermont,OUTBOUND,-90.05785,30.00058
826,2253,Gentilly + Eastern,INBOUND,-90.04629,30.00282
781,2159,Gentilly + Elysian Fields (Farside),INBOUND,-90.05972,29.99934
871,2159,Gentilly + Elysian Fields (Farside),OUTBOUND,-90.05972,29.99934
871,2357,Gentilly + Elysian Fields (Farside),OUTBOUND,-90.05869,29.99995
1330,3575,Gentilly + Elysian Fields (Nearside),INBOUND,-90.05898,30.00005
2041,8293,Gentilly + Elysian Fields (Nearside),OUTBOUND,-90.05948,29.99933
1487,4644,Gentilly + Foy,INBOUND,-90.06097,29.99790
1531,4702,Gentilly + Foy,OUTBOUND,-90.06074,29.99777
828,2255,Gentilly + Franklin,INBOUND,-90.05002,30.00303
1437,4360,Gentilly + Franklin,OUTBOUND,-90.05040,30.00275
875,2361,Gentilly + Iris,OUTBOUND,-90.05271,30.00279
827,2254,Gentilly + Lafaye,INBOUND,-90.04789,30.00313
876,2363,Gentilly + Lafaye,OUTBOUND,-90.04808,30.00290
831,2258,Gentilly + Mandeville,INBOUND,-90.05672,30.00176
832,2259,Gentilly + Marigny,INBOUND,-90.05791,30.00085
1247,2863,Gentilly + New Orleans,INBOUND,-90.06682,29.99323
1488,4645,Gentilly + Norman Mayer,INBOUND,-90.06149,29.99723
1489,4646,Gentilly + Pauger,INBOUND,-90.06278,29.99569
1529,4700,Gentilly + Pauger,OUTBOUND,-90.06254,29.99562
783,2163,Gentilly + St Anthony,INBOUND,-90.06380,29.99505
802,2212,Gentilly + St Anthony,OUTBOUND,-90.06389,29.99472
830,2257,Gentilly + St Roch,INBOUND,-90.05478,30.00268
874,2360,Gentilly + St Roch,OUTBOUND,-90.05515,30.00225
1530,4701,Gentilly + Touro,OUTBOUND,-90.06163,29.99668
806,2222,Gulfway Terrace Apartments,OUTBOUND,-89.90701,30.03793
,1796,I-10 Service Rd. + Windrun Apts.,INBOUND,-89.95911,30.04811
889,2383,Michoud + Carriere Court 1,OUTBOUND,-89.92750,30.02735
890,2384,Michoud + Carriere Court 2,OUTBOUND,-89.92733,30.02543
2311,8622,Michoud + Chef Mentuer Highway,INBOUND,-89.92801,30.03198
2311,8622,Michoud + Chef Mentuer Highway,OUTBOUND,-89.92801,30.03198
2321,8632,Michoud + Dwyer,INBOUND,-89.92967,30.03665
2333,8663,Michoud + Lourdes,INBOUND,-89.92883,30.03391
892,2386,Michoud + Old Gentilly,OUTBOUND,-89.92673,30.02111
891,2385,Michoud + Reserve Center,OUTBOUND,-89.92702,30.02267
1524,4695,N. Broad + A P Tureaud,OUTBOUND,-90.06805,29.98708
1491,4651,N. Broad + Agriculture,INBOUND,-90.06840,29.98724
1491,4651,N. Broad + Agriculture,OUTBOUND,-90.06840,29.98724
1502,4663,N. Broad + Bienville,INBOUND,-90.08590,29.96751
1513,4684,N. Broad + Bienville,OUTBOUND,-90.08589,29.96702
835,2276,N. Broad + Canal,INBOUND,-90.08733,29.96588
1495,4657,N. Broad + Columbus,INBOUND,-90.07684,29.97786
1520,4690,N. Broad + Columbus,OUTBOUND,-90.07668,29.97752
1493,4655,N. Broad + D'Abadie,INBOUND,-90.07394,29.98108
1522,4692,N. Broad + D'Abadie,OUTBOUND,-90.07386,29.98072
1523,4694,N. Broad + Duels,OUTBOUND,-90.07023,29.98479
1499,4660,N. Broad + Dumaine,INBOUND,-90.08170,29.97233
1516,4687,N. Broad + Dumaine,OUTBOUND,-90.08158,29.97198
1496,4658,N. Broad + Esplanade,INBOUND,-90.07834,29.97618
1518,4689,N. Broad + Esplanade,OUTBOUND,-90.07818,29.97586
1501,4662,N. Broad + Lafitte,INBOUND,-90.08431,29.96936
1494,4656,N. Broad + Lapeyrouse,INBOUND,-90.07541,29.97946
1521,4691,N. Broad + Lapeyrouse,OUTBOUND,-90.07529,29.97913
1500,4661,N. Broad + Orleans,INBOUND,-90.08285,29.97100
1515,4686,N. Broad + Orleans,OUTBOUND,-90.08281,29.97054
1492,4652,N. Broad + Republic,INBOUND,-90.07033,29.98510
868,2351,N. Broad + St Bernard,INBOUND,-90.07170,29.98363
2042,8294,N. Broad + St Bernard,OUTBOUND,-90.07176,29.98308
1514,4685,N. Broad + St Louis,OUTBOUND,-90.08440,29.96858
1525,4696,N. Broad + Treasure,OUTBOUND,-90.06620,29.98927
1497,4659,N. Broad + Ursulines,INBOUND,-90.08017,29.97408
1517,4659,N. Broad + Ursulines,OUTBOUND,-90.08017,29.97408
1517,4688,N. Broad + Ursulines,OUTBOUND,-90.08010,29.97365
894,2388,NASA,OUTBOUND,-89.91897,30.02521
834,2262,New Orleans + Benefit,INBOUND,-90.06687,29.99041
833,2261,New Orleans + Pleasure,INBOUND,-90.06703,29.99244
893,2387,Old Gentilly + Agriculture Building,OUTBOUND,-89.92084,30.02387
816,2236,Opposite Maison Orleans Two,INBOUND,-89.92453,30.03234
816,2236,Opposite Maison Orleans Two,OUTBOUND,-89.92453,30.03234
815,2235,Orleans East Apartments,INBOUND,-89.92306,30.03281
815,2235,Orleans East Apartments,OUTBOUND,-89.92306,30.03281
1503,4664,S. Broad + Banks,INBOUND,-90.08975,29.96314
1512,4683,S. Broad + Banks,OUTBOUND,-90.08966,29.96267
2043,8295,S. Broad + Canal,OUTBOUND,-90.08727,29.96526
837,2280,S. Broad + Erato,INBOUND,-90.09750,29.95356
1507,4679,S. Broad + Erato,OUTBOUND,-90.09732,29.95322
1505,4666,S. Broad + Gravier,INBOUND,-90.09169,29.96086
1510,4681,S. Broad + Gravier,OUTBOUND,-90.09155,29.96052
1952,8074,S. Broad + M L King,INBOUND,-90.09798,29.95290
1763,659,S. Broad + M L King,OUTBOUND,-90.09832,29.95163
1509,4680,S. Broad + Overpass,OUTBOUND,-90.09497,29.95648
1563,505,S. Broad + Overpass,INBOUND,-90.09478,29.95711
1511,4682,S. Broad + Tulane,OUTBOUND,-90.09059,29.96158
1504,4665,S. Broad + Tulane,INBOUND,-90.09077,29.96197
838,2282,S. Broad + Washington,INBOUND,-90.10057,29.95109
2051,8303,Toledano + Dorgenois,INBOUND,-90.09986,29.94949
,Unknown,Unknown,OUTBOUND,,
,Unknown,Unknown,INBOUND,,
1741,638,Washington + S.Broad,INBOUND,-90.10048,29.95076
1741,638,Washington + S.Broad,OUTBOUND,-90.10048,29.95076